Level,IdRoot,ParentId,Ten,Ma
3,7324,216,Phúc Hòa,7324
3,19972,479,Thủy Phương,19972
3,26617,750,Nghĩa Thành,26617
3,31834,954,Vĩnh Trạch,31834
3,6832,196,Phương Đông,6832
3,8635,238,Khả Cửu,8635
3,14026,363,Cổ Lễ,14026
3,19129,455,Lâm Trạch,19129
3,18472,443,Trung Lộc,18472
3,9319,260,Lim,9319
3,14491,373,Gia Vượng,14491
3,8176,232,Yển Khê,8176
3,24535,654,Ea Yiêng,24535
3,7682,221,Tân Dân,7682
3,7795,222,Hoàng Ninh,7795
3,2575,76,Kháng Nhật,2575
3,16609,407,Nguyên Bình,16609
3,10006,276,Bình Phú,10006
3,349,9,Khương Trung,349
2,148,17,Hòa Bình,148
3,1210,34,Vĩnh Hảo,1210
2,392,38,Hà Trung,392
3,28498,820,Long Tiên,28498
3,8791,246,Liễn Sơn,8791
3,25801,720,An Lập,25801
3,2452,75,Phúc Ninh,2452
3,3359,100,Hẹ Muông,3359
3,16753,415,Nậm Giải,16753
3,18439,443,Thường Nga,18439
3,18103,436,Thạch Môn,18103
3,2686,82,A Mú Sung,2686
3,5578,167,Thanh Định,5578
3,14452,372,Quỳnh Lưu,14452
2,512,49,Hiệp Đức,512
3,22264,562,Hòa Phong,22264
3,23041,596,Hồng Thái,23041
3,11200,299,Ninh Hải,11200
3,24823,673,1,24823
3,27256,773,Phường 12,27256
3,3940,122,Huy Tường,3940
3,1684,51,Công Trừng,1684
3,19861,476,Phong Xuân,19861
3,15766,397,Nông Trường,15766
2,876,87,Lai Vung,876
3,2302,73,Minh Quang,2302
3,29737,860,Phú Lộc,29737
3,12733,340,Phong Châu,12733
3,23980,639,Chư Don,23980
3,3292,102,Ẳng Tở,3292
3,15832,398,Thiệu Viên,15832
3,12622,339,Tân Hòa,12622
3,23092,597,Hàm Đức,23092
3,20332,497,Hòa Khương,20332
3,5434,164,Quang Vinh,5434
3,30463,889,Cái Dầu,30463
3,18277,440,Trung Lễ,18277
3,3028,88,Lao Chải,3028
3,12076,327,Thanh Long,12076
2,422,40,Con Cuông,422
3,17653,427,Đông Sơn,17653
3,952,30,Cao Bồ,952
3,9232,258,Long Châu,9232
3,3454,107,Bun Tở,3454
3,27334,774,Phường 5,27334
3,14962,386,Hạ Trung,14962
3,12289,331,Vĩnh Xá,12289
3,931,30,Thanh Đức,931
3,32077,967,Thới Bình,32077
3,12361,332,Trung Dũng,12361
2,584,58,Bác Ái,584
3,21901,548,Cát Thắng,21901
3,32149,969,Trần Thới,32149
3,6514,187,Hữu Kiên,6514
3,30250,877,An Nhơn,30250
3,1699,51,Trương Vương,1699
3,19519,466,Gio Hải,19519
3,7945,228,Phong Châu,7945
3,14071,363,Trực Đại,14071
3,26923,765,Phường 5,26923
3,12505,338,Quỳnh Hồng,12505
3,26740,760,Bến Nghé,26740
3,5698,169,Hợp Tiến,5698
3,21898,548,Cát Tiến,21898
3,2503,70,An Khang,2503
3,27964,802,Mỹ Hạnh Bắc,27964
3,17023,419,Nghĩa An,17023
3,1780,52,Thịnh Vượng,1780
3,8551,240,Thu Ngạc,8551
3,25777,720,Dầu Tiếng,25777
3,13798,360,Yên Trung,13798
3,3162,96,Nậm Kè,3162
3,29977,870,Thường Lạc,29977
1,15,NULL,Yên Bái,15
3,5068,153,Nam Thượng,5068
3,12385,323,Tân Hưng,12385
3,22736,576,Trường Sa,22736
3,2683,82,Bát Xát,2683
3,28195,807,Phước Vĩnh Đông,28195
3,23983,639,Ia Phang,23983
3,18577,448,Thạch Mỹ,18577
3,25468,703,2,25468
3,22345,568,Vạn Thắng,22345
3,6748,194,Vạn Ninh,6748
3,5368,158,Đa Phúc,5368
3,9514,264,Quảng Phú,9514
2,30,2,Vị Xuyên,30
3,23842,630,Đăk Song,23842
2,7,1,Hai Bà Trưng,7
3,21801,546,Vĩnh Hòa,21801
3,20245,492,Hòa Thuận Tây,20245
3,7417,217,Tân Hưng,7417
3,4498,138,Cổ Phúc,4498
3,29494,849,Định An,29494
3,892,29,Tùng Vài,892
3,24724,665,Thuận Hạnh,24724
3,14506,373,Gia Thắng,14506
3,9826,273,Đồng Tháp,9826
3,20059,481,Hương Nguyên,20059
3,9196,258,Dũng Liệt,9196
3,16993,414,Quang Phong,16993
3,9616,269,Cổ Đông,9616
3,17680,427,Quang Sơn,17680
3,13690,356,Cửa Nam,13690
1,94,NULL,Sóc Trăng,94
3,12631,339,Đông Đô,12631
3,15418,394,Yên Trung,15418
3,5026,153,Vĩnh Đồng,5026
3,28342,818,Hưng Thạnh,28342
3,2251,71,Khuôn Hà,2251
3,25432,697,Chơn Thành,25432
3,1465,46,Quang Trung,1465
3,6520,187,Y Tịch,6520
3,29302,844,Nhị Long,29302
3,19849,476,Phong Thu,19849
3,27889,800,Tân Tây,27889
4,9696969696,27121,Pasteur,P8-7
3,21574,540,Trần Hưng Đạo,21574
3,24061,638,Ia Hiao,24061
3,11059,297,Thống Kênh,11059
3,22453,570,Cam Đức,22453
3,4198,126,Nà Ngựu,4198
3,12319,331,Hùng An,12319
3,5071,153,Kim Truy,5071
3,22552,572,Ninh Sim,22552
3,421,16,Việt Long,421
3,9064,251,Liên Châu,9064
3,16231,403,Cán Khê,16231
3,2332,73,Phú Bình,2332
3,28840,831,Tân Phú,28840
3,14272,366,Hải Sơn,14272
3,15820,398,Thiệu Chính,15820
3,4489,137,Chế Tạo,4489
3,3313,102,Mường Lạn,3313
3,16696,412,Hồng Sơn,16696
3,7558,219,Kiên Thành,7558
3,20257,492,Hòa Cường Bắc,20257
3,21778,545,Mỹ Tài,21778
3,28294,816,3,28294
3,13975,362,Nghĩa An,13975
3,4714,141,Yên Bình,4714
2,428,40,Thanh Chương,428
3,1498,47,Khâm Thành,1498
3,6385,186,Hữu Lũng,6385
3,23884,631,Ia Nan,23884
2,798,80,Mộc Hóa,798
3,24305,644,An Lạc,24305
3,3586,109,Nậm Xe,3586
2,760,79,Quận 1,760
3,27664,787,Cần Thạnh,27664
3,620,21,Phúc Diễn,620
3,23986,639,Ia Le,23986
2,298,30,Tứ Kỳ,298
3,20989,517,Tam Hiệp,20989
3,11548,311,Phả Lễ,11548
3,19066,458,Quảng Thọ,19066
3,7627,220,Quế Sơn,7627
3,2785,83,Lùng Vai,2785
3,6244,183,Tân Liên,6244
3,2140,66,Lạng San,2140
3,30697,894,Vĩnh Trạch,30697
3,6607,188,Xuân Dương,6607
3,6616,189,NT Thái Bình,6616
3,31483,936,Thuận Hưng,31483
3,21817,547,Bình Thuận,21817
3,373,9,Kim Giang,373
2,247,26,Tam Dương,247
3,5464,164,Tân Lập,5464
3,1654,51,Nước Hai,1654
3,26503,742,Phước An,26503
3,15673,397,Thọ Tiến,15673
3,10378,281,Sơn Công,10378
3,28663,823,Thành Công,28663
3,21586,540,Trần Phú,21586
3,1873,60,Xuân La,1873
3,5707,169,Nam Hòa,5707
3,3304,99,Tênh Phông,3304
4,9696969696,27145,Nguyễn Phúc Nguyên,P10-5
3,15445,394,Định Tăng,15445
3,18493,448,Phù Lưu,18493
3,15064,389,Lam Sơn,15064
3,19855,476,Phong Mỹ,19855
3,13693,356,Lộc Hòa,13693
3,15313,392,Hà Sơn,15313
3,541,18,Dương Hà,541
3,23965,633,Dun,23965
3,3754,119,Nong Lay,3754
2,570,56,Cam Lâm,570
3,11134,298,Quang Trung,11134
3,17683,427,Thịnh Sơn,17683
3,10459,282,Bột Xuyên,10459
3,10342,280,Bạch Hạ,10342
3,20116,482,Vinh Hưng,20116
3,7348,216,Ngọc Châu,7348
2,384,38,Mường Lát,384
3,6913,200,Quảng Tân,6913
3,145,4,Long Biên,145
3,9976,276,Kim Quan,9976
2,164,19,Thái Nguyên,164
3,22789,584,Phước Tân,22789
3,17251,422,Chi Khê,17251
3,16129,401,Nga Mỹ,16129
3,15316,392,Hà Lĩnh,15316
3,11668,313,Mỹ Đức,11668
3,13708,358,Mỹ Lộc,13708
3,14653,376,Chất Bình,14653
3,15022,387,Sơn Điện,15022
3,29374,847,Châu Thành,29374
3,13573,353,Chính Lý,13573
3,20428,503,Cẩm Nam,20428
3,15340,392,Hà Thái,15340
3,22063,557,Xuân Hòa,22063
3,6421,186,Thanh Sơn,6421
3,14377,370,Quang Sơn,14377
3,15166,390,Cẩm Phong,15166
3,31195,919,Ba Láng,31195
3,7447,218,Lục Nam,7447
3,31552,943,Nhơn Mỹ,31552
2,9,1,Thanh Xuân,9
3,12187,329,Đa Lộc,12187
3,29569,855,Tân Hội,29569
3,32158,970,Tạ An Khương  Đông,32158
3,25189,683,Quảng Ngãi,25189
3,3550,109,Sì Lờ Lầu,3550
3,30052,872,Mỹ Hòa,30052
3,655,20,Tam Hiệp,655
3,10951,296,Vĩnh Tuy,10951
3,16213,402,Thanh Hòa,16213
3,4969,152,Thành Lập,4969
3,27412,776,Phường 13,27412
3,7351,216,Ngọc Vân,7351
3,25156,682,Đạ Pal,25156
3,14746,377,Yên Đồng,14746
3,16042,400,Phong Lộc,16042
3,4519,138,Quy Mông,4519
2,425,40,Diễn Châu,425
3,418,16,Tiên Dược,418
3,25069,680,B' Lá,25069
3,14404,372,Cúc Phương,14404
3,12844,341,Thụy Quỳnh,12844
3,8158,232,Đông Lĩnh,8158
3,9736,272,Cẩm Đình,9736
3,12976,342,Đông Trà,12976
3,26878,764,Phường 16,26878
3,10705,292,Quang Trung,10705
3,20881,514,Tiên Mỹ,20881
3,634,19,Đại Mỗ,634
3,1786,53,Đông Khê,1786
3,12769,340,Đông Tân,12769
3,721,26,Đồng Văn,721
3,8770,246,Hợp Lý,8770
3,3607,111,Hố Mít,3607
3,18535,444,Phú Phong,18535
3,16645,407,Mai Lâm,16645
3,7396,217,An Hà,7396
3,30859,904,Tân Hiệp B,30859
3,10360,281,Viên Nội,10360
3,3638,110,Tà Mung,3638
3,16720,413,Nghi Tân,16720
3,8359,235,Đồng Cam,8359
3,8083,231,Động Lâm,8083
3,28042,804,Tân Thành,28042
3,3034,88,Suối Thầu,3034
3,18163,439,Sơn Hòa,18163
3,553,18,Cổ Bi,553
3,8446,236,Thanh Uyên,8446
3,6058,180,Quốc Việt,6058
3,5830,171,Bình Thuận,5830
1,4,NULL,Cao Bằng,4
3,5275,157,Mỹ Thành,5275
3,27568,784,Đông Thạnh,27568
3,23659,625,Đông,23659
3,16429,380,Đông Vinh,16429
3,14323,369,Tân Thành,14323
3,24415,652,Cư Prao,24415
3,22009,551,Canh Thuận,22009
3,26824,762,Bình Thọ,26824
3,811,27,Nậm Ban,811
3,12163,329,Quang Vinh,12163
3,2584,76,Quyết Thắng,2584
3,15847,398,Thiệu Châu,15847
3,18256,440,Đức Nhân,18256
3,24010,634,Ya Hội,24010
3,8026,230,Yên Kiện,8026
3,14500,373,Gia Phương,14500
3,29965,868,Tân Hội,29965
3,16564,407,Hải Châu,16564
3,1732,52,Yên Lạc,1732
3,30400,887,Phú Vĩnh,30400
3,31480,937,Long Phú,31480
3,27976,802,Mỹ Hạnh Nam,27976
3,21088,524,Bình Long,21088
3,27349,775,Phường 13,27349
3,17209,421,Tiến Thủy,17209
3,21688,544,Tăng Bạt Hổ,21688
3,14485,373,Gia Xuân,14485
3,32215,972,Phú Mỹ,32215
3,8830,253,Yên Thạch,8830
3,9088,252,Nghĩa Hưng,9088
3,12004,325,Đình Dù,12004
1,27,NULL,Bắc Ninh,27
3,19468,465,Húc,19468
4,9696969696,27139,Võ Văn Tần,P6-10
3,8521,237,Hợp Hải,8521
3,12202,329,Hạ Lễ,12202
3,2080,64,Bình Trung,2080
3,10768,293,Tuấn Hưng,10768
3,22549,572,Ninh Trung,22549
3,15343,392,Hà Hải,15343
3,13753,359,Hợp Hưng,13753
3,8038,230,Tiêu Sơn,8038
3,7528,219,Cấm Sơn,7528
3,26047,731,Bình Đa,26047
3,4414,136,Tân Hợp,4414
3,27727,796,Hưng Điền B,27727
3,31246,924,Thạnh Qưới,31246
2,844,84,Càng Long,844
1,87,NULL,Đồng Tháp,87
3,19690,470,Hải Xuân,19690
3,19651,469,Triệu Lăng,19651
3,7093,205,Đức Chính,7093
3,9625,271,Phú Cường,9625
3,24799,672,11,24799
3,18484,443,Đồng Lộc,18484
3,29332,845,Tam Ngãi,29332
3,18586,445,Thạch Kênh,18586
3,4252,132,Yên Ninh,4252
3,28798,829,Phú Nhuận,28798
3,14053,363,Trực Nội,14053
3,22711,570,Suối Tân,22711
3,28987,834,Phong Nẫm,28987
3,4405,136,Mậu Đông,4405
3,4804,148,Đồng Tiến,4804
3,5974,178,Tam Thanh,5974
3,26515,747,4,26515
3,28531,821,Tân Lý Tây,28531
3,19756,474,Phú Hiệp,19756
3,11926,317,Hoàng Châu,11926
3,28306,816,5,28306
3,31690,947,Đại Tâm,31690
3,8737,244,Hùng Vương,8737
3,23197,600,Đa Kai,23197
3,3622,111,Tà Mít,3622
3,646,20,Thanh Liệt,646
2,220,24,Sơn Động,220
3,18385,442,Xuân Viên,18385
3,22330,568,Vĩnh Hải,22330
3,25123,681,Phước Lộc,25123
3,2707,82,Dền Sáng,2707
3,17650,427,Đặng Sơn,17650
3,15577,395,Phú Yên,15577
3,19744,474,Phú Thuận,19744
3,8863,246,Triệu Đề,8863
3,8260,233,Gia Thanh,8260
3,17281,423,Nghĩa Bình,17281
4,9696969696,27139,Cao Thắng,P6-2
3,19042,454,Quảng Hưng,19042
3,10270,280,Phú Minh,10270
3,15373,393,Vĩnh Khang,15373
3,22771,582,Mỹ Đông,22771
3,23797,629,Ayun,23797
3,29599,857,Long Phước,29599
3,1030,32,Thèn Chu Phìn,1030
3,4336,135,Tân Lĩnh,4336
3,22867,586,Nhơn Hải,22867
3,26929,765,Phường 24,26929
2,594,60,Thị xã La Gi,594
2,857,86,Long Hồ,857
3,25927,726,Thường Tân,25927
3,25444,697,Minh Long,25444
3,24067,638,Ia Yeng,24067
3,11908,316,Vĩnh Tiến,11908
3,31429,934,Hiệp Hưng,31429
3,5356,158,Lạc Sỹ,5356
3,16381,405,Đông Hoàng,16381
3,2668,80,Bắc Cường,2668
3,12247,330,Tân Châu,12247
3,18979,453,Ngư Hóa,18979
3,31027,913,An Minh Bắc,31027
3,29143,836,An Ngãi Trung,29143
3,23311,608,Đắk Cấm,23311
3,19906,478,Phú Dương,19906
3,2689,82,Nậm Chạc,2689
3,2176,66,Cư Lễ,2176
3,8230,233,Phong Châu,8230
3,11638,313,Trường Thành,11638
4,9696969696,27148,Nguyễn Thượng Hiền,P4-6
3,6700,193,Tuần Châu,6700
3,5986,178,Hoàng Đồng,5986
3,18808,449,Kỳ Hà,18808
3,14518,373,Gia Tiến,14518
3,11125,298,An Thanh,11125
3,23327,608,Đăk Năng,23327
3,18802,447,Kỳ Hải,18802
3,20644,509,Quế Xuân 1,20644
3,7138,206,Minh Thành,7138
3,12055,327,Giai Phạm,12055
3,28996,834,Châu Hòa,28996
3,21493,535,Ba Thành,21493
3,27715,794,Khánh Hậu,27715
3,17125,432,Mai Hùng,17125
3,19777,474,Vĩ Dạ,19777
3,8488,236,Dậu Dương,8488
3,25603,708,Biên Giới,25603
3,22921,593,Phú Hài,22921
3,14719,377,Yên Phong,14719
4,9696969696,27160,Nguyễn Đình Chiểu,P1-2
3,5485,164,Phúc Hà,5485
3,25690,711,Long Giang,25690
3,18043,431,Hưng Long,18043
3,22702,574,Suối Hiệp,22702
3,10423,281,Đại Hùng,10423
3,21154,526,Trà Phong,21154
3,29062,835,Phú Thuận,29062
2,833,83,Mỏ Cày Nam,833
3,5161,155,Tuân Lộ,5161
3,13057,342,Nam Thanh,13057
3,6685,193,Trần Hưng Đạo,6685
3,23767,628,Ia Sao,23767
3,10201,279,Văn Bình,10201
3,13459,347,Thanh Tuyền,13459
3,27934,802,Hiệp Hòa,27934
3,32191,971,Năm Căn,32191
3,26992,766,Phường 10,26992
3,27391,776,Phường 2,27391
3,14095,364,Xuân Hồng,14095
3,30505,890,Chi Lăng,30505
3,8104,231,Hương Xạ,8104
3,9031,251,Đồng Văn,9031
3,18559,444,Hương Liên,18559
3,17248,422,Châu Khê,17248
3,9076,252,Vĩnh Tường,9076
3,15400,394,Yên Phú,15400
3,21451,534,Phổ Văn,21451
3,10969,296,Thúc Kháng,10969
3,3592,109,Sin Suối Hồ,3592
3,12331,323,Phú Cường,12331
3,9376,261,Tương Giang,9376
3,12628,339,Bắc Sơn,12628
3,26995,766,Phường 6,26995
3,17638,427,Bắc Sơn,17638
3,25441,697,Minh Hưng,25441
3,19654,469,Triệu Sơn,19654
2,183,20,Cao Lộc,183
3,24643,662,Đắk Wil,24643
4,9696969696,27139,Trương Định,P6-16
3,6844,198,Đồng Tâm,6844
3,11728,314,Đại Hà,11728
3,4058,128,Tân Xuân,4058
3,25007,679,Tân Lâm,25007
3,21766,545,Mỹ Thành,21766
3,16825,417,Đoọc Mạy,16825
3,31438,934,Tân Long,31438
3,5404,159,Hưng Thi,5404
3,6181,182,Nhạc Kỳ,6181
3,18826,447,Kỳ Hợp,18826
3,28801,831,Châu Thành,28801
3,2209,70,Tràng Đà,2209
2,248,26,Tam Đảo,248
3,10816,294,Hồng Lạc,10816
3,22828,585,Ma Nới,22828
3,22231,561,EaTrol,22231
3,11995,325,Đại Đồng,11995
3,142,4,Sài Đồng,142
3,1369,44,Vị Quang,1369
3,20731,511,Phước Đức,20731
3,29032,834,Bình Thành,29032
3,16339,404,Vạn Thiện,16339
3,4585,139,Trạm Tấu,4585
3,8539,237,Bản Nguyên,8539
3,22285,562,Hòa Mỹ Đông,22285
3,20260,495,Khuê Trung,20260
3,11221,299,Hưng Thái,11221
3,6604,188,Nam Quan,6604
3,10249,279,Dũng Tiến,10249
3,27994,803,Thạnh Lợi,27994
3,7260,215,Đồng Tâm,7260
3,2020,64,Bằng Lũng,2020
3,15733,397,Khuyến Nông,15733
2,314,31,Kiến Thuỵ,314
3,18352,442,Xuân An,18352
3,5785,171,Phú Lạc,5785
3,22555,572,Ninh Xuân,22555
3,10783,293,Kim Lương,10783
3,16804,416,Châu Bình,16804
3,15811,398,Thiệu Quang,15811
3,19993,479,Dương Hòa,19993
3,16015,400,Đồng Lộc,16015
3,21005,517,Tam Mỹ Đông,21005
3,18181,439,Sơn Hà,18181
3,16468,406,Quảng Bình,16468
3,13450,351,Liêm Phong,13450
3,12145,329,Phù Ủng,12145
3,15760,397,Thọ Vực,15760
3,26812,762,Hiệp Bình Chánh,26812
2,288,30,Hải Dương,288
3,6133,182,Bắc La,6133
3,24850,675,Đưng KNớ,24850
3,12352,332,Lệ Xá,12352
3,24692,664,Nam Xuân,24692
3,3532,108,Noong Hẻo,3532
2,157,17,Lạc Sơn,157
3,18649,445,Thạch Hội,18649
3,17233,422,Lạng Khê,17233
3,24820,673,2,24820
3,28312,816,Long Thuận,28312
3,16093,401,Nga Sơn,16093
3,4483,137,La Pán Tẩn,4483
3,11017,297,Gia Xuyên,11017
3,30133,874,Tân Quới,30133
3,4120,125,Chiềng Ban,4120
3,32146,969,Tân Hưng Đông,32146
3,12391,333,Trần Cao,12391
3,15298,392,Hà Phú,15298
3,13384,350,Quế,13384
3,24868,676,Nam Ban,24868
2,262,27,Thuận Thành,262
3,28468,817,Tân Hội,28468
3,30376,887,Long Thạnh,30376
3,6658,193,Cao Xanh,6658
3,24424,652,Ea H'MLay,24424
3,238,6,Khương Thượng,238
3,19381,464,Vĩnh Kim,19381
3,27244,772,Phường 4,27244
3,11848,316,Hiệp Hoà,11848
3,22912,587,Phước Vinh,22912
3,2098,65,Hoà Mục,2098
3,6847,198,Đồng Văn,6847
3,28723,824,Tân Tây,28723
3,28951,833,An Thạnh,28951
3,18115,437,Bắc Hồng,18115
2,141,15,Yên Bình,141
3,21943,549,Nhơn Hoà,21943
3,12226,330,Tứ Dân,12226
3,13522,352,Hưng Công,13522
3,28357,818,Phước Lập,28357
3,1660,51,Nam Tuấn,1660
3,12139,328,Hưng Long,12139
3,22384,568,Vĩnh Lương,22384
3,6370,185,Trấn Yên,6370
3,15049,388,Tam Văn,15049
3,27529,783,Phước Hiệp,27529
3,5245,156,Săm Khóe,5245
3,12823,340,Đồng Phú,12823
3,23713,626,Trang,23713
3,14608,375,Khánh Thành,14608
3,19012,454,Quảng Hợp,19012
3,16132,401,Nga Yên,16132
3,22714,575,Tô Hạp,22714
3,26548,748,Phước Hưng,26548
2,877,87,Châu Thành,877
2,17,1,Đông Anh,17
2,805,80,Tân Trụ,805
3,11710,314,Ngũ Phúc,11710
3,5962,173,Thanh Ninh,5962
3,25213,689,Tiến Hưng,25213
3,19003,453,Cao Quảng,19003
3,16597,407,Hải Lĩnh,16597
3,25990,725,Vĩnh Phú,25990
3,16699,412,Trung Đô,16699
3,24463,653,Hòa Phong,24463
3,14023,362,Nam Thái,14023
3,19609,468,Cam Thanh,19609
3,6691,193,Hồng Gai,6691
3,20224,491,An Khê,20224
3,21259,528,Nghĩa Sơn,21259
3,21298,529,Sơn Nham,21298
3,31060,910,Vĩnh Bình Bắc,31060
3,4132,125,Chiềng Mai,4132
3,415,16,Tân Dân,415
3,14632,376,Chính Tâm,14632
3,11821,315,Vinh Quang,11821
3,11035,297,Gia Khánh,11035
